% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.106	1	12	11	7	26	20	161	1
0.107	1	15	11	8	82	20	161	0
0.107	1	7	11	8	88	20	161	0
0.107	1	14	11	8	35	20	161	1
0.107	1	13	11	8	43	20	161	1
0.108	1	4	11	9	93	20	161	0
0.108	1	6	11	9	97	0	7	0
0.108	1	5	11	9	54	20	161	1
0.108	1	3	11	9	62	20	161	1
0.109	1	2	11	10	100	0	7	0
0.109	1	9	11	10	102	0	7	0
0.109	1	11	11	10	69	20	161	1
0.109	1	8	11	10	75	20	161	1
0.11	1	1	12	1	1	20	161	0
0.11	1	10	12	1	14	20	161	0
0.11	1	15	12	1	82	20	161	1
0.11	1	7	12	1	88	20	161	1
0.111	1	12	12	2	26	20	161	0
0.111	1	14	12	2	35	20	161	0
0.111	1	4	12	2	93	20	161	1
0.111	1	6	12	2	97	0	7	1
0.112	1	13	12	3	43	20	161	0
0.112	1	5	12	3	54	20	161	0
0.112	1	2	12	3	100	0	7	1
0.112	1	9	12	3	102	0	7	1
0.113	1	3	12	4	62	20	161	0
0.113	1	11	12	4	69	20	161	0
0.113	1	1	12	4	1	20	161	1
0.113	1	10	12	4	14	20	161	1
0.114	1	8	12	5	75	20	161	0
0.114	1	15	12	5	82	20	161	0
0.114	1	12	12	5	26	20	161	1
0.114	1	14	12	5	35	20	161	1
0.115	1	7	12	6	88	20	161	0
0.115	1	4	12	6	93	20	161	0
0.115	1	13	12	6	43	20	161	1
0.115	1	5	12	6	54	20	161	1
0.116	1	2	12	7	100	0	7	0
0.116	1	3	12	7	62	20	161	1
0.116	1	11	12	7	69	20	161	1
0.117	1	9	12	8	102	0	7	0
0.117	1	1	12	8	1	20	161	0
0.117	1	8	12	8	75	20	161	1
0.117	1	15	12	8	82	20	161	1
0.118	1	10	12	9	14	20	161	0
0.118	1	12	12	9	26	20	161	0
0.118	1	7	12	9	88	20	161	1
0.118	1	4	12	9	93	20	161	1
0.119	1	14	12	10	35	20	161	0
0.119	1	13	12	10	43	20	161	0
0.119	1	6	12	10	97	20	161	1
0.119	1	2	12	10	100	0	7	1
0.12	1	5	13	1	54	20	161	0
0.12	1	3	13	1	62	20	161	0
0.12	1	9	13	1	102	0	7	1
0.12	1	1	13	1	1	20	161	1
0.121	1	11	13	2	69	20	161	0
0.121	1	8	13	2	75	20	161	0
0.121	1	10	13	2	14	20	161	1
0.121	1	12	13	2	26	20	161	1
0.122	1	15	13	3	82	20	161	0
0.122	1	7	13	3	88	20	161	0
0.122	1	14	13	3	35	20	161	1
0.122	1	13	13	3	43	20	161	1
0.123	1	4	13	4	93	20	161	0
0.123	1	6	13	4	97	20	161	0
0.123	1	5	13	4	54	20	161	1
0.123	1	3	13	4	62	20	161	1
0.124	1	2	13	5	100	20	161	0
0.124	1	11	13	5	69	20	161	1
0.124	1	8	13	5	75	20	161	1
0.125	1	1	13	6	1	20	161	0
0.125	1	10	13	6	14	20	161	0
0.125	1	15	13	6	82	20	161	1
0.125	1	7	13	6	88	20	161	1
0.126	1	12	13	7	26	20	161	0
0.126	1	14	13	7	35	20	161	0
0.126	1	4	13	7	93	20	161	1
0.126	1	6	13	7	97	20	161	1
0.127	1	13	13	8	43	20	161	0
0.127	1	5	13	8	54	20	161	0
0.127	1	2	13	8	100	20	161	1
0.127	1	9	13	8	102	20	161	1
0.128	1	3	13	9	62	20	161	0
0.128	1	11	13	9	69	20	161	0
0.128	1	1	13	9	1	20	161	1
0.128	1	10	13	9	14	20	161	1
0.129	1	8	13	10	75	20	161	0
0.129	1	15	13	10	82	20	161	0
0.129	1	12	13	10	26	20	161	1
0.129	1	14	13	10	35	20	161	1
0.13	1	7	14	1	88	20	161	0
0.13	1	4	14	1	93	20	161	0
0.13	1	13	14	1	43	20	161	1
0.13	1	5	14	1	54	20	161	1
0.131	1	6	14	2	97	20	161	0
0.131	1	2	14	2	100	20	161	0
0.131	1	3	14	2	62	20	161	1
0.131	1	11	14	2	69	20	161	1
0.132	1	9	14	3	102	20	161	0
0.132	1	1	14	3	1	20	161	0
0.132	1	8	14	3	75	20	161	1
0.132	1	15	14	3	82	20	161	1
0.133	1	10	14	4	14	20	161	0
0.133	1	12	14	4	26	20	161	0
0.133	1	7	14	4	88	20	161	1
0.133	1	4	14	4	93	20	161	1
0.134	1	14	14	5	35	20	161	0
0.134	1	13	14	5	43	20	161	0
0.134	1	6	14	5	97	20	161	1
0.134	1	2	14	5	100	20	161	1
0.135	1	5	14	6	54	20	161	0
0.135	1	3	14	6	62	20	161	0
0.135	1	9	14	6	102	20	161	1
0.135	1	1	14	6	1	20	161	1
0.136	1	11	14	7	69	20	161	0
0.136	1	8	14	7	75	20	161	0
0.136	1	10	14	7	14	20	161	1
0.136	1	12	14	7	26	20	161	1
0.137	1	15	14	8	82	20	161	0
0.137	1	7	14	8	88	20	161	0
0.137	1	14	14	8	35	20	161	1
0.137	1	13	14	8	43	20	161	1
0.138	1	4	14	9	93	20	161	0
0.138	1	6	14	9	97	20	161	0
0.138	1	5	14	9	54	20	161	1
0.138	1	3	14	9	62	20	161	1
0.139	1	2	14	10	100	20	161	0
0.139	1	9	14	10	102	20	161	0
0.139	1	11	14	10	69	20	161	1
0.139	1	8	14	10	75	20	161	1
0.14	1	1	15	1	1	20	161	0
0.14	1	10	15	1	14	20	161	0
0.14	1	15	15	1	82	20	161	1
0.14	1	7	15	1	88	20	161	1
0.141	1	12	15	2	26	20	161	0
0.141	1	14	15	2	35	20	161	0
0.141	1	4	15	2	93	20	161	1
0.141	1	6	15	2	97	20	161	1
0.142	1	13	15	3	43	20	161	0
0.142	1	5	15	3	54	20	161	0
0.142	1	2	15	3	100	20	161	1
0.142	1	9	15	3	102	20	161	1
0.143	1	3	15	4	62	20	161	0
0.143	1	11	15	4	69	20	161	0
0.143	1	1	15	4	1	20	161	1
0.143	1	10	15	4	14	20	161	1
0.144	1	8	15	5	75	20	161	0
0.144	1	15	15	5	82	20	161	0
0.144	1	12	15	5	26	20	161	1
0.144	1	14	15	5	35	20	161	1
0.145	1	7	15	6	88	20	161	0
0.145	1	4	15	6	93	20	161	0
0.145	1	13	15	6	43	20	161	1
0.145	1	5	15	6	54	20	161	1
0.146	1	6	15	7	97	20	161	0
0.146	1	2	15	7	100	20	161	0
0.146	1	3	15	7	62	20	161	1
0.146	1	11	15	7	69	20	161	1
0.147	1	9	15	8	102	20	161	0
0.147	1	1	15	8	1	20	161	0
0.147	1	8	15	8	75	20	161	1
0.147	1	15	15	8	82	20	161	1
0.148	1	10	15	9	14	20	161	0
0.148	1	12	15	9	26	20	161	0
0.148	1	7	15	9	88	20	161	1
0.148	1	4	15	9	93	20	161	1
0.149	1	14	15	10	35	20	161	0
0.149	1	13	15	10	43	20	161	0
0.149	1	6	15	10	97	20	161	1
0.149	1	2	15	10	100	20	161	1
0.15	1	5	16	1	54	20	161	0
0.15	1	3	16	1	62	20	161	0
0.15	1	9	16	1	102	20	161	1
0.15	1	1	16	1	1	20	161	1
0.151	1	11	16	2	69	20	161	0
0.151	1	8	16	2	75	20	161	0
0.151	1	10	16	2	14	20	161	1
0.151	1	12	16	2	26	20	161	1
0.152	1	15	16	3	82	20	161	0
0.152	1	7	16	3	88	20	161	0
0.152	1	14	16	3	35	20	161	1
0.152	1	13	16	3	43	20	161	1
0.153	1	4	16	4	93	20	161	0
0.153	1	6	16	4	97	20	161	0
0.153	1	5	16	4	54	20	161	1
0.153	1	3	16	4	62	20	161	1
0.154	1	2	16	5	100	20	161	0
0.154	1	9	16	5	102	20	161	0
0.154	1	11	16	5	69	20	161	1
0.154	1	8	16	5	75	20	161	1
0.155	1	1	16	6	1	20	161	0
0.155	1	10	16	6	14	20	161	0
0.155	1	15	16	6	82	20	161	1
0.155	1	7	16	6	88	20	161	1
0.156	1	12	16	7	26	20	161	0
0.156	1	14	16	7	35	20	161	0
0.156	1	4	16	7	93	20	161	1
0.156	1	6	16	7	97	20	161	1
0.157	1	13	16	8	43	20	161	0
0.157	1	5	16	8	54	20	161	0
0.157	1	2	16	8	100	20	161	1
0.157	1	9	16	8	102	20	161	1
0.158	1	3	16	9	62	20	161	0
0.158	1	11	16	9	69	20	161	0
0.158	1	1	16	9	1	20	161	1
0.158	1	10	16	9	14	20	161	1
0.159	1	8	16	10	75	20	161	0
0.159	1	15	16	10	82	20	161	0
0.159	1	12	16	10	26	20	161	1
0.159	1	14	16	10	35	20	161	1
0.16	1	7	17	1	88	20	161	0
0.16	1	4	17	1	93	20	161	0
0.16	1	13	17	1	43	20	161	1
