% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
138	1	9	102	0	20	161	0	1	0
138	1	1	1	0	20	161	0	1	0
138	2	15	82	0	20	161	0	1	1
138	2	8	75	0	20	161	0	1	1
139	1	10	14	0	20	161	0	1	0
139	1	12	26	0	20	161	0	1	0
139	2	4	93	0	20	161	0	1	1
139	2	7	88	0	20	161	0	1	1
140	1	14	35	0	20	161	0	1	0
140	1	13	43	0	20	161	0	1	0
140	2	2	100	0	20	161	0	1	1
140	2	6	97	0	20	161	0	1	1
141	1	5	54	0	20	161	0	1	0
141	1	3	62	0	20	161	0	1	0
141	2	1	1	0	20	161	0	1	1
141	2	9	102	0	20	161	0	1	1
142	1	8	75	0	20	161	0	1	0
142	1	11	69	0	20	161	0	1	0
142	2	12	26	0	20	161	0	1	1
142	2	10	14	0	20	161	0	1	1
143	1	7	88	0	20	161	0	1	0
143	1	15	82	0	20	161	0	1	0
143	2	13	43	0	20	161	0	1	1
143	2	14	35	0	20	161	0	1	1
144	1	6	97	0	20	161	0	1	0
144	1	4	93	0	20	161	0	1	0
144	2	3	62	0	20	161	0	1	1
144	2	5	54	0	20	161	0	1	1
145	1	9	102	0	20	161	0	1	0
145	1	2	100	0	20	161	0	1	0
145	2	11	69	0	20	161	0	1	1
145	2	8	75	0	20	161	0	1	1
146	1	10	14	0	20	161	0	1	0
146	1	1	1	0	20	161	0	1	0
146	2	15	82	0	20	161	0	1	1
146	2	7	88	0	20	161	0	1	1
147	1	12	26	0	20	161	0	1	0
147	1	14	35	0	20	161	0	1	0
147	2	4	93	0	20	161	0	1	1
147	2	6	97	0	20	161	0	1	1
148	1	5	54	0	20	161	0	1	0
148	1	13	43	0	20	161	0	1	0
148	2	2	100	0	20	161	0	1	1
148	2	9	102	0	20	161	0	1	1
149	1	3	62	0	20	161	0	1	0
149	1	11	69	0	20	161	0	1	0
149	2	1	1	0	20	161	0	1	1
149	2	10	14	0	20	161	0	1	1
150	1	15	82	0	20	161	0	1	0
150	1	8	75	0	20	161	0	1	0
150	2	12	26	0	20	161	0	1	1
150	2	14	35	0	20	161	0	1	1
151	1	7	88	0	20	161	0	1	0
151	1	4	93	0	20	161	0	1	0
151	2	13	43	0	20	161	0	1	1
151	2	5	54	0	20	161	0	1	1
152	1	6	97	0	20	161	0	1	0
152	1	2	100	0	20	161	0	1	0
152	2	11	69	0	20	161	0	1	1
152	2	3	62	0	20	161	0	1	1
153	1	9	102	0	20	161	0	1	0
153	1	1	1	0	20	161	0	1	0
153	2	15	82	0	20	161	0	1	1
153	2	8	75	0	20	161	0	1	1
154	1	10	14	0	20	161	0	1	0
154	1	12	26	0	20	161	0	1	0
154	2	4	93	0	20	161	0	1	1
154	2	7	88	0	20	161	0	1	1
155	1	14	35	0	20	161	0	1	0
155	1	13	43	0	20	161	0	1	0
155	2	2	100	0	20	161	0	1	1
155	2	6	97	0	20	161	0	1	1
156	1	5	54	0	20	161	0	1	0
156	1	3	62	0	20	161	0	1	0
156	2	1	1	0	20	161	0	1	1
156	2	9	102	0	20	161	0	1	1
157	1	8	75	0	20	161	0	1	0
157	1	11	69	0	20	161	0	1	0
157	2	12	26	0	20	161	0	1	1
157	2	10	14	0	20	161	0	1	1
158	1	7	88	0	20	161	0	1	0
158	1	15	82	0	20	161	0	1	0
158	2	13	43	0	20	161	0	1	1
158	2	14	35	0	20	161	0	1	1
159	1	6	97	0	20	161	0	1	0
159	1	4	93	0	20	161	0	1	0
159	2	3	62	0	20	161	0	1	1
159	2	5	54	0	20	161	0	1	1
160	1	9	102	0	20	161	0	1	0
160	1	2	100	0	20	161	0	1	0
160	2	11	69	0	20	161	0	1	1
160	2	8	75	0	20	161	0	1	1
161	1	10	14	0	20	161	0	1	0
161	1	1	1	0	20	161	0	1	0
161	2	15	82	0	20	161	0	1	1
161	2	7	88	0	20	161	0	1	1
162	1	12	26	0	20	161	0	1	0
162	1	14	35	0	20	161	0	1	0
162	2	4	93	0	20	161	0	1	1
162	2	6	97	0	20	161	0	1	1
163	1	5	54	0	20	161	0	1	0
163	1	13	43	0	20	161	0	1	0
163	2	2	100	0	20	161	0	1	1
163	2	9	102	0	20	161	0	1	1
164	1	3	62	0	20	161	0	1	0
164	1	11	69	0	20	161	0	1	0
164	2	1	1	0	20	161	0	1	1
164	2	10	14	0	20	161	0	1	1
165	1	15	82	0	20	161	0	1	0
165	1	8	75	0	20	161	0	1	0
165	2	12	26	0	20	161	0	1	1
165	2	14	35	0	20	161	0	1	1
166	1	7	88	0	20	161	0	1	0
166	1	4	93	0	20	161	0	1	0
166	2	13	43	0	20	161	0	1	1
166	2	5	54	0	20	161	0	1	1
167	1	6	97	0	20	161	0	1	0
167	1	2	100	0	20	161	0	1	0
167	2	11	69	0	20	161	0	1	1
167	2	3	62	0	20	161	0	1	1
168	1	9	102	0	20	161	0	1	0
168	1	1	1	0	20	161	0	1	0
168	2	15	82	0	20	161	0	1	1
168	2	8	75	0	20	161	0	1	1
169	1	10	14	0	20	161	0	1	0
169	1	12	26	0	20	161	0	1	0
169	2	4	93	0	20	161	0	1	1
169	2	7	88	0	20	161	0	1	1
170	1	14	35	0	20	161	0	1	0
170	1	13	43	0	20	161	0	1	0
170	2	2	100	0	20	161	0	1	1
170	2	6	97	0	20	161	0	1	1
171	1	5	54	0	20	161	0	1	0
171	1	3	62	0	20	161	0	1	0
171	2	1	1	0	20	161	0	1	1
171	2	9	102	0	20	161	0	1	1
172	1	8	75	0	20	161	0	1	0
172	1	11	69	0	20	161	0	1	0
172	2	12	26	0	20	161	0	1	1
172	2	10	14	0	20	161	0	1	1
173	1	7	88	0	20	161	0	1	0
173	1	15	82	0	20	161	0	1	0
173	2	13	43	0	20	161	0	1	1
173	2	14	35	0	20	161	0	1	1
174	1	6	97	0	20	161	0	1	0
174	1	4	93	0	20	161	0	1	0
174	2	3	62	0	20	161	0	1	1
174	2	5	54	0	20	161	0	1	1
175	1	9	102	0	20	161	0	1	0
175	1	2	100	0	20	161	0	1	0
175	2	11	69	0	20	161	0	1	1
175	2	8	75	0	20	161	0	1	1
176	1	10	14	0	20	161	0	1	0
176	1	1	1	0	20	161	0	1	0
176	2	15	82	0	20	161	0	1	1
176	2	7	88	0	20	161	0	1	1
177	1	12	26	0	20	161	0	1	0
177	1	14	35	0	20	161	0	1	0
177	2	4	93	0	20	161	0	1	1
177	2	6	97	0	20	161	0	1	1
178	1	5	54	0	20	161	0	1	0
178	1	13	43	0	20	161	0	1	0
178	2	2	100	0	20	161	0	1	1
178	2	9	102	0	20	161	0	1	1
179	1	3	62	0	20	161	0	1	0
179	1	11	69	0	20	161	0	1	0
179	2	1	1	0	20	161	0	1	1
179	2	10	14	0	20	161	0	1	1
180	1	15	82	0	20	161	0	1	0
180	1	8	75	0	20	161	0	1	0
180	2	12	26	0	20	161	0	1	1
180	2	14	35	0	20	161	0	1	1
181	1	7	88	0	20	161	0	1	0
181	1	4	93	0	20	161	0	1	0
181	2	13	43	0	20	161	0	1	1
181	2	5	54	0	20	161	0	1	1
182	1	6	97	0	20	161	0	1	0
182	1	2	100	0	20	161	0	1	0
182	2	11	69	0	20	161	0	1	1
182	2	3	62	0	20	161	0	1	1
183	1	9	102	0	20	161	0	1	0
183	1	1	1	0	20	161	0	1	0
183	2	15	82	0	20	161	0	1	1
183	2	8	75	0	20	161	0	1	1
184	1	10	14	0	20	161	0	1	0
184	1	12	26	0	20	161	0	1	0
184	2	4	93	0	20	161	0	1	1
184	2	7	88	0	20	161	0	1	1
185	1	14	35	0	20	161	0	1	0
185	1	13	43	0	20	161	0	1	0
185	2	2	100	0	20	161	0	1	1
185	2	6	97	0	20	161	0	1	1
186	1	5	54	0	20	161	0	1	0
186	1	3	62	0	20	161	0	1	0
186	2	1	1	0	20	161	0	1	1
186	2	9	102	0	20	161	0	1	1
187	1	8	75	0	20	161	0	1	0
187	1	11	69	0	20	161	0	1	0
187	2	12	26	0	20	161	0	1	1
187	2	10	14	0	20	161	0	1	1
188	1	7	88	0	20	161	0	1	0
188	1	15	82	0	20	161	0	1	0
188	2	13	43	0	20	161	0	1	1
188	2	14	35	0	20	161	0	1	1
189	1	6	97	0	20	161	0	1	0
189	1	4	93	0	20	161	0	1	0
189	2	3	62	0	20	161	0	1	1
189	2	5	54	0	20	161	0	1	1
190	1	9	102	0	20	161	0	1	0
190	1	2	100	0	20	161	0	1	0
190	2	11	69	0	20	161	0	1	1
190	2	8	75	0	20	161	0	1	1
191	1	10	14	0	20	161	0	1	0
191	1	1	1	0	20	161	0	1	0
191	2	15	82	0	20	161	0	1	1
191	2	7	88	0	20	161	0	1	1
192	1	12	26	0	20	161	0	1	0
192	1	14	35	0	20	161	0	1	0
192	2	4	93	0	20	161	0	1	1
192	2	6	97	0	20	161	0	1	1
193	1	5	54	0	20	161	0	1	0
193	1	13	43	0	20	161	0	1	0
193	2	2	100	0	20	161	0	1	1
193	2	9	102	0	20	161	0	1	1
194	1	3	62	0	20	161	0	1	0
194	1	11	69	0	20	161	0	1	0
194	2	1	1	0	20	161	0	1	1
194	2	10	14	0	20	161	0	1	1
195	1	15	82	0	20	161	0	1	0
195	1	8	75	0	20	161	0	1	0
195	2	12	26	0	20	161	0	1	1
195	2	14	35	0	20	161	0	1	1
196	1	7	88	0	20	161	0	1	0
196	1	4	93	0	20	161	0	1	0
196	2	13	43	0	20	161	0	1	1
196	2	5	54	0	20	161	0	1	1
197	1	6	97	0	20	161	0	1	0
197	1	2	100	0	20	161	0	1	0
197	2	11	69	0	20	161	0	1	1
